"ID_Atleta","Nome_Atleta","Apelido","Posição","Status","Clube","Pontos","Preço","Variação","Média","Jogos"
"86410","Victor Luis Chuab Zamblauskas","Victor Luis","Lateral","Nulo","Botafogo",0,9.06,0,3.37,23
"97898","Maílton dos Santos de Sá","Maílton","Lateral","Nulo","Coritiba",0,3.48,0,1.65,12
"60852","Uendel Pereira Gonçalves","Uendel","Lateral","Nulo","Internacional",0,2.38,0,1.13,14
"106411","Vivaldo Borges dos Santos Neto","Neto Borges","Lateral","Nulo","Vasco",0,4.03,0,2.54,18
"105566","Riquelme Carvalho Araújo Viana","Riquelme","Lateral","Nulo","Vasco",0,1,0,0,0
"72079","Bruno Cortês Barbosa","Bruno Cortez","Lateral","Provável","Grêmio",0,8.74,0,2.82,22
"100741","Guilherme Alecsander Guedes","Guilherme Guedes","Lateral","Nulo","Grêmio",0,3,0,0,0
"38229","Fábio Santos Romeu","Fábio Santos","Lateral","Provável","Corinthians",7.1,7.61,1.16,4.79,17
"95494","Felipe Aguilar Mendoza","Aguilar","Zagueiro","Nulo","Athletico-PR",0,5.26,0,2.07,10
"52618","Anderson Vieira Martins","Anderson Martins","Zagueiro","Nulo","Bahia",0,6.34,0,2.82,5
"107453"," João Paulo Silveira dos Santos","João Paulo Silveira","Zagueiro","Nulo","Fortaleza",0,1,0,0,0
"72359","Luiz Otávio Anacleto Leandro","Luiz Otávio","Zagueiro","Nulo","Ceará",0,4.94,0,2.47,27
"91929","Everson Bispo Pereira","Everson","Zagueiro","Nulo","Bahia",0,1,0,0,0
"101647","Ulisses Wilson Jeronymo Rocha ","Ulisses","Zagueiro","Nulo","Vasco",0,2,0,0,0
"102607","Nathan Otávio Ribeiro","Nathan Ribeiro","Zagueiro","Nulo","Coritiba",0,1.58,0,-0.16,7
"97425","Wellington Daniel Bueno","Bueno","Zagueiro","Nulo","Atlético-MG",0,6.89,0,2.39,7
"105840","Pedro Henrique Alves Santana","Pedro Henrique","Zagueiro","Nulo","Internacional",0,0.77,0,-1,1
"80853","Pedro Tonon Geromel","Pedro Geromel","Zagueiro","Contundido","Grêmio",0,9.61,0,3.91,12
"104250","João Victor da Silva Marcelino","João Victor","Zagueiro","Nulo","Atlético-GO",3,3.88,0.61,2.48,25
"98484","Victor Hugo Soares dos Santos","Kanu","Zagueiro","Nulo","Botafogo",0,4.48,0,2.04,30
"105636","Gabriel Henrique Chavoni Fornari","Gabriel Fornari","Zagueiro","Nulo","Athletico-PR",0,1,0,0,0
"107251","João Vitor Vallony da Silva","Da Silva","Zagueiro","Nulo","Goiás",0,1,0,0,0
"101728","Diego Henrique Costa Barbosa","Diego","Zagueiro","Provável","São Paulo",0,2.64,0,2.05,16
"109860","Ronald Eugenio de Carvalho","Ronald","Zagueiro","Nulo","Corinthians",0,1,0,0,0
"52253","Réver Humberto Alves Araújo","Réver","Zagueiro","Provável","Atlético-MG",0,7.32,-0.29,2.89,25
"107981","Danilo Alves da Silva","Danilo","Zagueiro","Nulo","Atlético-GO",0,1,0,0,0
"106965","Carlos Eduardo Barbosa da Silva","Carlos Eduardo","Zagueiro","Nulo","Palmeiras",0,1,0,0,0
"38394","Thiago Heleno Henrique Ferreira","Thiago Heleno","Zagueiro","Suspenso","Athletico-PR",-4.7,5.43,-2.14,3.04,28
"72142","Danilo Fernando Avelar","Danilo Avelar","Zagueiro","Contundido","Corinthians",0,6.45,0,2.83,10
"91689","Matheus Isaías dos Santos","Matheus Jussa","Zagueiro","Nulo","Internacional",0,2.32,0,0.9,2
"107107","Gabriel Rodrigues Noga","Gabriel Noga","Zagueiro","Nulo","Flamengo",0,0.78,0,-0.35,2
"83528","Leonardo Pereira","Léo Pereira","Zagueiro","Nulo","Flamengo",0,5.1,0,2.26,12
"100125","Matheus Soares Thuler","Thuler","Zagueiro","Nulo","Flamengo",0,2.2,0,-0.28,4
"106077","Vanderley Ribeiro Correia Filho","Vanderley","Zagueiro","Nulo","Goiás",0,1,0,0,0
"110188","Vinicius Milani Bueno","Milani","Zagueiro","Nulo","Flamengo",0,1,0,0,0
"106964","Jonathan dos Santos Lessa","John","Zagueiro","Nulo","Corinthians",0,1,0,0,0
"95820","Leonardo Rodrigues dos Santos","Léo Santos","Zagueiro","Nulo","Corinthians",0,2,0,0,0
"90846","Willian Klaus","Klaus","Zagueiro","Provável","Ceará",4.7,4.19,0.81,1.8,11
"71684","Gustavo Raúl Gómez Portillo","Gustavo Gómez","Zagueiro","Nulo","Palmeiras",2.8,10.99,-0.42,3.32,19
"62974","Werley Ananias da Silva","Werley","Zagueiro","Nulo","Vasco",0,3.37,0,2.22,7
"108385","César Rafael Haydar Villarreal","Haydar","Zagueiro","Nulo","Bragantino",0,2,0,0,0
"97528","Wesley Frazan Bernardo","Frazan","Zagueiro","Nulo","Fluminense",0,3.12,0,4.4,1
"80692","Luan Garcia Teixeira","Luan","Zagueiro","Suspenso","Palmeiras",-0.9,5.11,0.27,2.48,23
"49651","Ernando Rodrigues Lopes","Ernando","Zagueiro","Provável","Bahia",4.8,6.26,0.57,2.1,26
"107110","Natan Bernardo de Souza","Natan","Zagueiro","Nulo","Flamengo",-2.7,3.41,-0.82,2.68,12
"38545","Felipe Melo de Carvalho","Felipe Melo","Zagueiro","Nulo","Palmeiras",0.6,6.36,-0.68,2.99,11
"50317","David Braz de Oliveira Filho","David Braz","Zagueiro","Nulo","Grêmio",5,8.88,0.73,3.47,21
"105339","Heron Crespo da Silva","Heron","Zagueiro","Nulo","Goiás",6.1,2.12,0.47,1.17,22
"110189","Otávio Ataide da Silva","Otávio","Zagueiro","Nulo","Flamengo",0,1,0,0,0
"109318","Vitor João Batista Santos","Vitão","Zagueiro","Nulo","Ceará",0,1,0,0,0
"108176","Gabriel Santos Cordeiro Lacerda","Gabriel Lacerda","Zagueiro","Provável","Ceará",0,3.37,0,3.01,8
"51415","Roger de Carvalho","Roger Carvalho","Zagueiro","Nulo","Fortaleza",0,2.77,0,2.1,5
"70666","Marllon Gonçalves Jerônimo Borges","Marllon","Zagueiro","Nulo","Corinthians",0,5.53,0,3.02,8
"42501","Luiz Rhodolfo Dini Gaioto","Rhodolfo","Zagueiro","Nulo","Coritiba",-0.1,3.85,0.84,1.18,15
"38632","Matheus Ferraz Pereira","Matheus Ferraz","Zagueiro","Provável","Fluminense",0,6.12,0,3.63,11
"86972","Emerson Raymundo Santos","Emerson Santos","Zagueiro","Nulo","Palmeiras",0,3.59,0,2.87,9
"79042","Tiago Pagnussat","Tiago ","Zagueiro","Nulo","Ceará",8,7.61,1.15,3.2,27
"103088","Lucas Ribeiro dos Santos","Lucas Ribeiro","Zagueiro","Provável","Internacional",3,4.09,-0.37,2.73,12
"111204","Marcio Gleyson Leite da Silva","Marcio Silva","Zagueiro","Provável","Coritiba",0,1,0,0,0
"107792","Heitor Marinho dos Santos","Heitor","Zagueiro","Nulo","Grêmio",0,1,0,0,0
"108745","Odair Marciano de Oliveira Filho","Odair","Zagueiro","Nulo","Atlético-GO",0,2,0,0,0
"73800","Rodrigo Caio Coquette Russo","Rodrigo Caio","Zagueiro","Provável","Flamengo",2.5,8.36,0.36,3.04,19
"86143","Wanderson Santos Pereira","Wanderson","Zagueiro","Nulo","Fortaleza",0,3.84,0,1.56,7
"110672","Vinícius de Azevedo Barcellos","Vinícius Barcellos","Zagueiro","Nulo","Bahia",0,1,0,0,0
"106835","Luan Patrick Wiedthauper","Luan Patrick","Zagueiro","Nulo","Athletico-PR",0,1.62,0,0.3,1
"101600","Alex de Oliveira Nascimento","Alex","Zagueiro","Provável","Santos",0,2.53,0,2.36,10
"100840","Emanuel Leone Moura","Emanuel","Zagueiro","Nulo","Grêmio",0,1,0,0,0
"95638","Marcelo da Conceição Benevenuto Malaquias","Marcelo Benevenuto","Zagueiro","Provável","Botafogo",5.8,6.91,0.94,1.85,28
"103700","Bruno Méndez Cittadini","Bruno Méndez","Zagueiro","Provável","Corinthians",0,2.36,0,1.17,12
"84263","Jemerson de Jesus Nascimento","Jemerson","Zagueiro","Provável","Corinthians",6.4,6.99,0.1,5.9,3
"87225","Pedro Henrique Ribeiro Gonçalves","Pedro Henrique","Zagueiro","Provável","Athletico-PR",4.5,6.25,0.52,3.4,27
"71604","Fábio Pizarro Sanches","Fábio Sanches","Zagueiro","Provável","Goiás",10.3,8,1.25,3.64,25
"90768","Fabrício Bruno Soares de Faria","Fabrício Bruno","Zagueiro","Dúvida","Bragantino",5.8,2.22,0.2,1.84,12
"106629","Wellington Gonzaga de Assis Filho - Tim","Wellington","Zagueiro","Nulo","Santos",0,1,0,0,0
"38505","Leandro Castan da Silva","Leandro Castan","Zagueiro","Provável","Vasco",9.5,13.1,1.57,2.71,26
"107756","Carlos Eduardo da Silva Rodrigues Lima","Carlos Eduardo","Zagueiro","Nulo","Internacional",0,1,0,0,0
"89493","Igor Rabello da Costa","Igor Rabello","Zagueiro","Nulo","Atlético-MG",0,10.21,0,2.85,19
"68817","Jonathan Doin","Paulo Miranda","Zagueiro","Nulo","Grêmio",5.1,3.36,0.93,1.8,14
"73620","Bruno Fabiano Alves","Bruno Alves","Zagueiro","Provável","São Paulo",-1.4,7.15,-0.18,2.16,23
"82773","Gilvan Souza Correa","Gilvan","Zagueiro","Provável","Atlético-GO",1.8,4.89,0.27,1.86,20
"91772","David de Duarte Macedo","David Duarte","Zagueiro","Provável","Goiás",4.1,5.37,0.74,3.44,25
"107509","David Sousa Albino","David Sousa","Zagueiro","Provável","Botafogo",4.8,1.59,0.81,0.59,9
"104050","Marcelo Alves Santos","Marcelo Alves","Zagueiro","Nulo","Vasco",0,2.04,0,2.62,11
"83048","Rafael Thyere de Albuquerque Marques","Rafael Thyere","Zagueiro","Provável","Sport",-4.4,2.47,-1.59,1.69,8
"91203","Éder Ferreira Graminho","Éder ","Zagueiro","Nulo","Atlético-GO",0,3.89,0,1.15,30
"104075","José Sabino Chagas Monteiro","Sabino","Zagueiro","Nulo","Coritiba",-0.3,7.79,-0.94,3.81,29
"107541","Pedro Henrique Nunes Silva","Pedrão","Zagueiro","Nulo","Sport",0,0.79,-0.21,0,1
"87342","Walter Kannemann","Kannemann","Zagueiro","Nulo","Grêmio",10.4,10.79,1.74,3.56,14
"73465","Luccas Claro dos Santos","Luccas Claro","Zagueiro","Provável","Fluminense",0.9,6.59,-0.09,3.28,28
"105887","Igor Morais Carvalho","Igor","Zagueiro","Nulo","Corinthians",0,1,0,0,0
"99253","Francisco Alves da Silva Melo","Chico","Zagueiro","Nulo","Sport",-1,2.23,-0.55,2.43,12
"92182","José Carlos Ferreira Júnior","Juninho","Zagueiro","Nulo","Bahia",5,7.94,0.89,1.91,26
"106299","Leonardo Javier Realpe Montaño","Realpe","Zagueiro","Nulo","Bragantino",0,2.74,0,0.97,6
"50446","Luis Francisco Grando","Chico","Zagueiro","Nulo","Goiás",0,2.84,0,-0.13,3
"105278","Iago Pereira Mendonça","Iago Mendonça","Zagueiro","Nulo","Goiás",4.5,1.93,-0.05,2.42,9
"63172","Paulo Marcos de Jesus Ribeiro","Paulão","Zagueiro","Provável","Fortaleza",2.9,3.6,0.06,1.85,29
"88312","Júnior Osmar Ignacio Alonso Mujica","Júnior Alonso","Zagueiro","Provável","Atlético-MG",-2.2,9.61,-0.73,3.32,28
"96382","Juan Sebastián Quintero Fletcher","Quintero","Zagueiro","Provável","Fortaleza",0.5,1.74,0.13,1.32,14
"84847","Luan Peres Petroni","Luan Peres ","Zagueiro","Nulo","Santos",3.8,6.76,-0.71,2.85,28
"70934","Jackson de Souza","Jackson","Zagueiro","Nulo","Fortaleza",0,3.01,0,1.57,18
"94514","Lucas da Cruz Oliveira","Oliveira","Zagueiro","Provável","Atlético-GO",1,2.92,0.13,1.84,16
"79113","Víctor Leandro Cuesta","Víctor Cuesta","Zagueiro","Provável","Internacional",0,10.46,0,2.85,34
"103261","Rodrigo dos Santos de Freitas","Rodrigo Freitas","Zagueiro","Nulo","São Paulo",0,1,0,0,0
"107371","Higor Gabriel Fernandes Alves","Higor","Zagueiro","Nulo","Fluminense",0,1,0,0,0
"107742","Tiago Barbosa Figueiredo","Tiago Barbosa","Zagueiro","Nulo","Internacional",0,2,0,0,0
"79035","Luiz Felipe do Nascimento dos Santos","Luiz Felipe","Zagueiro","Provável","Santos",-3.2,2.68,-0.66,0.77,10
"99881","Ricardo Queiroz de Alencastro Graça","Ricardo","Zagueiro","Provável","Vasco",7.8,7.89,1.13,3.11,18
"98619","Benjamín Kuscevic Jaramillo","Kuscevic","Zagueiro","Provável","Palmeiras",0,6.75,0,5.08,5
"107963","Gustavo Henrique Santos","Gustavo Henrique","Zagueiro","Nulo","Bahia",0,2,0,0,0
"91251","Antônio Josenildo Rodrigues de Oliveira","Rodrigues","Zagueiro","Provável","Grêmio",0,2.29,0,1.7,20
"82764","Rafael Forster","Rafael Forster","Zagueiro","Contundido","Botafogo",0,2.76,0,0.92,18
"97711","Matheus Sousa Pereira","Pereira","Zagueiro","Nulo","Atlético-GO",0,4.65,0,3.44,9
"87393","Gabriel Costa França","Gabriel","Zagueiro","Nulo","Atlético-MG",0,6.48,0,2.94,8
"97867","Leonardo Rech Ortiz","Léo Ortiz","Zagueiro","Dúvida","Bragantino",0,8.97,0,3.38,33
"82564","Laércio Soldá","Laércio","Zagueiro","Contundido","Santos",0,4.78,0,2.56,13
"78248","Gustavo Henrique Vernes","Gustavo Henrique","Zagueiro","Provável","Flamengo",0.7,5.37,0.11,2.33,22
"61141","Ligger Moreira Malaquias","Ligger","Zagueiro","Provável","Bragantino",7.9,5.8,-0.27,3.06,27
"100842","Ruan Tressoldi Netto","Ruan","Zagueiro","Provável","Grêmio",0,0.83,0,0.43,3
"109830","Derick Fernando da Silva","Derick ","Zagueiro","Nulo","Santos",0,0.77,0,0,1
"68923","Carlos Gilberto do Nascimento Silva","Gil","Zagueiro","Provável","Corinthians",4.6,6.71,0.77,3.21,25
"101720","Matheus dos Santos Miranda","Miranda","Zagueiro","Nulo","Vasco",0,3.34,0,1.56,17
"104994","Wagner Leonardo Calvelo de Souza","Wagner Leonardo","Zagueiro","Provável","Santos",0,2.39,0,2.31,10
"80189","Lucas Fonseca da Silva","Lucas Fonseca","Zagueiro","Provável","Bahia",6.5,5.07,0.82,2.1,13
"104074","Walce da Silva Costa Filho","Walce","Zagueiro","Contundido","São Paulo",0,4,0,0,0
"91573","Robert Abel Arboleda Escobar","Arboleda","Zagueiro","Provável","São Paulo",4.2,8.78,0.7,2.55,16
"102253","Lucas Halter","Lucas Halter","Zagueiro","Nulo","Athletico-PR",0,3.19,0,1.18,8
"105807","Luan de Freitas Molarinho Chagas","Luan","Zagueiro","Nulo","Fluminense",0,1,0,0,0
"63354","Rodrigo Modesto da Silva Moledo","Rodrigo Moledo","Zagueiro","Contundido","Internacional",0,7.37,0,4.04,18
"105282","Francisco Rodrigo de Sousa Barbosa","Diguinho","Zagueiro","Nulo","Fortaleza",0,2,0,0,0
"91866","José Ivaldo Almeida Silva","Zé Ivaldo","Zagueiro","Provável","Athletico-PR",0,5.37,0,2.15,12
"88033","Alan Pereira Empereur","Alan Empereur","Zagueiro","Provável","Palmeiras",0,5.34,0,2.8,6
"91708","Marcílio Florêncio Mota Filho","Nino","Zagueiro","Suspenso","Fluminense",-2.5,5.59,-1.15,3.86,25
"109389","Raul Gustavo Pereira Bicalho","Raul Gustavo","Zagueiro","Nulo","Corinthians",0,1,0,0,0
"89226","Iago Justen Maidana Martins","Iago Maidana","Zagueiro","Provável","Sport",0,6.71,0,2.55,31
"105809","Michel Custódio Gonçalves de Sousa","Michel","Zagueiro","Nulo","Atlético-GO",0,1,0,0,0
"91664","Adryelson Shawann Lima Silva","Adryelson","Zagueiro","Provável","Sport",-1.3,3.34,-1.05,1.42,33
"105842","Lucas Eduardo Ribeiro de Souza","Edu","Zagueiro","Nulo","Athletico-PR",0,2,0,0,0
"104129","Lucimário Bezerra da Silva","Lucimário","Zagueiro","Nulo","Bahia",0,1,0,0,0
"81845","Alisson Euler de Freitas Castro","Alisson","Meia","Nulo","Grêmio",0,10.38,0,4.43,22
"86841","Gabriel Boschilia","Boschilia","Meia","Contundido","Internacional",0,8.45,0,3.81,13
"111361","Cristiano Robert do Amaral","Cristiano","Meia","Nulo","Coritiba",-0.5,0.79,-0.21,-0.5,1
"106843","Dylan Felipe Borrero Caicedo","Borrero","Meia","Nulo","Atlético-MG",0,2.43,0,-1.16,5
"110833","Luiz Felipe Silvério Silva","Luiz Felipe","Meia","Nulo","Bahia",0,0.98,0,0.9,1
"104217","João Igor Oliveira de Santana","João Igor","Meia","Nulo","Sport",0,1.93,0,-0.37,3
"102506","Leonardo Roque Albano Gil","Léo Gil","Meia","Dúvida","Vasco",0,5.29,0,2.07,16
"98760","Mariano Vázquez","Mariano Vázquez","Meia","Nulo","Fortaleza",-2.8,0.79,-0.82,0.19,17
"71479","Luis Oscar González","Lucho González","Meia","Contundido","Athletico-PR",0,2.45,0,-0.19,11
"104025","Denilson Rodrigues Roldão","Denilson","Meia","Nulo","Fluminense",0,1,0,0,0
"110923","Roosewelt Souza Neto","Neto","Meia","Nulo","Goiás",0,1,0,0,0
"109323","Érick Alexander Pluas Vera","Pluas","Meia","Nulo","Palmeiras",0,1,0,0,0
"97993","Jhonata Varela da Silva","Varela","Meia","Nulo","Grêmio",0,1,0,0,0
"101580","Lucas Lourenço Andrade","Lucas Lourenço","Meia","Nulo","Santos",0,2.04,0,0.66,15
"103767","Gabriel Vinícius Menino","Gabriel Menino","Meia","Nulo","Palmeiras",0,6.26,0,3.08,23
"107800","Fernando Henrique do Nascimento Pereira","Fernando Henrique","Meia","Nulo","Grêmio",0,1,0,0,0
"86759","Luan Guilherme de Jesus Vieira","Luan","Meia","Nulo","Corinthians",0,6.84,0,2.11,16
"107972","Romildo Del Piage de Souza","Romildo","Meia","Nulo","Botafogo",0,1.34,0,1.6,2
"103099","Éderson José dos Santos Lourenço da Silva","Éderson","Meia","Nulo","Corinthians",0,5.18,0,2.26,13
"104590","Caio de Mello Vianna Pedrosa Galvão","Caio Mello","Meia","Nulo","Bahia",0,1,0,0,0
"71719","Elton Júnior Melo Ataíde","Elton","Meia","Nulo","Bahia",0,3.55,0,1.7,4
"107677","Alexandre de Almeida da Silva Júnior","Juninho","Meia","Dúvida","Vasco",0.6,2.89,-0.03,1.61,16
"101573","João Pedro Vilardi Pinto","Pepê","Meia","Nulo","Flamengo",0,2.32,0,1.98,10
"101718","Lucas Santos da Silva","Lucas Santos","Meia","Nulo","Vasco",0,0.99,0,-1,3
"82766","Wellington Soares da Silva","Wellington Rato","Meia","Dúvida","Atlético-GO",9.9,4.79,1.2,3.14,17
"105901","Edson Fernando da Silva Gomes","Edson","Meia","Nulo","Bahia",0,1.21,0,0.72,10
"62977","Paulo Henrique Chagas de Lima","Ganso","Meia","Nulo","Fluminense",0,3.86,0,1.65,17
"111003","Lucas Gabriel de Oliveira","Lucas Black","Meia","Nulo","Goiás",0,1,0,0,0
"103295","Eric dos Santos Rodrigues","Ramires","Meia","Nulo","Bragantino",-0.1,3.99,-0.17,0.75,14
"85856","Ricardo Ryller Ribeiro Lino Silva","Ricardo Ryller","Meia","Dúvida","Bragantino",1.3,4.34,0.08,1.97,28
"110727","Rubens Antônio Dias","Rubens","Meia","Nulo","Atlético-MG",0,1,0,0,0
"94269","Luiz Otávio Alves Marcolino","Luiz Otávio","Meia","Provável","Botafogo",-0.7,1.57,-0.03,0.25,16
"94509","Raphael Cavalcante Veiga","Raphael Veiga","Meia","Nulo","Palmeiras",-0.7,8.51,-0.18,4.41,21
"87929","Matheus de Vargas","Matheus Vargas","Meia","Nulo","Atlético-GO",5.8,3.62,1.9,1.03,27
"60791","Wanderley de Jesus Sousa","Derley","Meia","Nulo","Fortaleza",0,2.34,0,-0.3,8
"86519","Everton Felipe de Oliveira Silva","Everton Felipe","Meia","Nulo","Atlético-GO",0,2.95,0,0.76,13
"104153","Ruan de Oliveira Ferreira","Ruan","Meia","Contundido","Corinthians",0,1.22,0,0.77,4
"102352","Ángelo Giovanni Araos Llanos","Araos","Meia","Nulo","Corinthians",-0.3,6.14,-1.1,3.14,12
"101841","Jurani Francisco Ferreira","Ratinho","Meia","Nulo","Goiás",0,2,0,1.12,8
"107798","Rildo Gonçalves de Amorim Filho","Rildo","Meia","Nulo","Grêmio",0,0.79,0,0.15,2
"106199","Gabriel Fortes Chaves","Gabriel Pec","Meia","Dúvida","Vasco",0.7,2.55,-0.21,1.65,14
"107172","Patrick de Paula Carreiro","Patrick de Paula","Meia","Nulo","Palmeiras",4.6,6.27,0.5,3.55,22
"107261","Nathan Melo Silva","Nathan","Meia","Nulo","Goiás",0,1,0,0,0
"77544","Jorge de Moura Xavier","Jorginho","Meia","Nulo","Athletico-PR",0,9.05,0,3.86,9
"107373","Paulo Victor da Costa Miranda Alves","Paulo Victor","Meia","Nulo","Fluminense",0,1,0,0,0
"78605","Gabriel Girotto Franco","Gabriel","Meia","Nulo","Corinthians",6.4,5.92,0.07,3.05,22
"84674","Lucas Evangelista Santana de Oliveira","Lucas Evangelista","Meia","Dúvida","Bragantino",0.5,4.79,-0.01,3.26,18
"107498","André Trindade da Costa Neto","André","Meia","Nulo","Fluminense",0,0.79,0.01,0.22,10
"89637","Thiago Maia Alencar","Thiago Maia","Meia","Contundido","Flamengo",0,6.99,0,2.72,12
"81677","Carlos Andrés Sánchez Arcosa","Carlos Sánchez","Meia","Contundido","Santos",0,5.65,0,1.66,12
"93893","Marcos Antônio Cândido Ferreira Júnior","Marcos Júnior","Meia","Nulo","Vasco",-1.5,2.89,-0.33,1.56,19
"98022","Erick Luis Conrado de Carvalho","Erick","Meia","Nulo","Athletico-PR",0,4.18,0,2.03,17
"90569","Yuri Oliveira Lima","Yuri Lima","Meia","Nulo","Fluminense",-1,1.31,-0.66,0.63,14
"105341","Filipe Cândido da Trindade","Filipe Trindade","Meia","Nulo","Goiás",0,2,0,0,0
"103777","Pedro Henrique Rodrigues Bicalho","Pedro Bicalho","Meia","Nulo","Palmeiras",0,1,0,0,0
"89256","Gerson Santos da Silva","Gerson","Meia","Provável","Flamengo",3.1,9.65,0.09,3.11,30
"38648","Anderson Hernanes de Carvalho Andrade Lima","Hernanes","Meia","Nulo","São Paulo",-0.8,6.44,-0.31,1.11,15
"106822","Rodrigo Nestor Bertalia","Rodrigo Nestor","Meia","Nulo","São Paulo",0,1.73,0,0.52,5
"93787","Andrey Ramos do Nascimento","Andrey","Meia","Dúvida","Vasco",3.2,6.52,0.08,3.19,23
"94975","Marco Antônio Rosa Furtado Júnior","Marco Antônio","Meia","Nulo","Bahia",0,3.01,0,1.7,14
"106323","Caio Alexandre Souza e Silva","Caio Alexandre","Meia","Nulo","Botafogo",0,5.71,0,2.26,29
"107516","Sebastião Ênio Santos de Almeida","Ênio","Meia","Provável","Botafogo",3.1,1.38,0.32,1.87,3
"89285","Matheus de Sales Cabral","Matheus Sales","Meia","Nulo","Coritiba",0,3.84,0,1.46,20
"102067","João Vitor Xavier de Almeida","Xavier","Meia","Nulo","Corinthians",0,1.69,0,1.36,11
"99918","Patrick Machado Ferreira ","Patrick","Meia","Nulo","Grêmio",0,2.32,0,0.15,2
